Words,Sadness,Anxiety,Anger,Disgust,Trust,Surprise,Joy
配偶,0.4286,0.2264,0.2264,0,1.5,0,0
野良,0.6192,0.0667,0.6192,0.4,0,0.2113,0.0667
野菜,0,0.0769,0.7144,0.0769,0,0.9942,0.2438
銀行,0,0.2882,0.5455,0.0909,0.5455,0.2882,0
鑑賞,0,0,0,0,0,0.0909,3.1449
長,0,0.0833,0.5,0.2642,0.5,0.5,0
長い,0.4888,0,0.1668,0.1668,1.3347,0.3158,0
長く,1.1667,0.0556,0.1761,0,0.9358,0.1761,0
長男,0.0625,0.8078,0.0625,0,0.375,0.1981,0.5805
間違い,0,0.0625,0.5805,0.1981,0.8078,0.375,0.0625
関わら,0.1441,0.0455,1.359,0.5875,0.4222,0.0455,0
阪神,0.2857,0.8021,0.4423,0.2857,0,0.4423,0.0476
陰口,0,0.0769,0.2438,2.6611,0,0,0
隊,0.0833,0.0833,0.0833,0,1.0771,0.774,0
階,0,0,1.9091,0.2882,0,0.2882,0
雇用,0,0.5,1.4037,0.0833,0.0833,0.0833,0
難しい,0.1981,0.0625,0.0625,0.375,1.0528,0.375,0
雰囲気,0.0714,0.0714,0,0.9232,0.0714,0.6634,0.2264
震災,0.7401,1.8575,0.1548,0.0167,0.1,1.09,0
面,0,2.8378,0,0.3917,0.3917,0.0961,0
面倒,0.2438,0.2438,0.2438,0,1.6154,0,0
面接,1.1267,1.5628,0.0906,0.1714,0.0286,0.2654,0
頼ま,0.2642,0.0833,0.2642,0.0833,1.4037,0,0
頼れる,0.0476,0.1509,0,0,3.6411,0,0
頼んだ,0.0909,0,0.0909,0,1.9091,0.0909,0.0909
風,0.5805,0.0625,0.0625,0.8078,0,0.1981,0.375
飛行機,0.2438,0.9942,0,0,0,1.2957,0
食べ物,0.2264,0,0.2264,0.6634,0.2264,0,0.6634
飲んだ,0,0.0588,0,0,0,0,3.847
飲んで,0,0.037,0.2222,0.1174,0,0.037,3.2536
飲食,0,0,0.4286,2.1355,0,0.0714,0.0714
馬鹿に,0.1441,0,3.2222,0.2727,0,0,0
驚いて,0,0,0,0,0,4.1699,0
驚か,0,0,0,0,0,4.3219,0
骨折,0.8077,1.1499,0.1219,0,0.1219,0.6479,0
高かった,0.2642,0.0833,0,0.0833,0,2.1133,0
高く,0.2113,0.8617,0.0667,0.0667,0.2113,0.4,0.0667
高速,0,0.2882,1.175,0.0909,0,0.5455,0
鬱,0.4286,1.8114,0,0,0.0714,0.2264,0
魚,0.375,0,0,0.0625,0,0.5805,1.585
